Date,MSCI.World,MSCI.EmergingMarkets,SP500,US10Y,DE10Y,SP.InvestmentGrade,SP.HighYield,MSCI.World.RealEstate,MSCI.US.RealEstate
3/8/2001,0.001313708,0.003110115,0.001921792,0.005717594,0.000496921,0.005546204,0.001080317,-0.00510683,0.001460304
3/9/2001,-0.01676585,-0.011024098,-0.024449385,0.002566576,0.003752697,0.003542394,0.001228558,0.002645075,0.006414759
3/12/2001,-0.036107736,-0.030624711,-0.043074584,-0.003326634,-0.000181215,-0.002284975,-0.000421634,8.82072E-05,-0.006347607
3/13/2001,-0.002318253,-0.00904804,0.015013914,0.001669553,0.000745556,8.58798E-05,-8.2762E-05,-0.024748768,-0.007978821
3/14/2001,-0.023226069,-0.010329603,-0.025594669,-0.002604218,-0.002230445,-0.00110397,-0.004049224,-0.02695464,-0.022740464
3/15/2001,0.008574233,0.000835844,0.005905662,0.007738611,0.001814347,0.003791516,-0.003552217,-0.013437283,-0.021163829
3/16/2001,-0.021709161,-0.007078988,-0.019164036,0.003996159,0.000106759,0.003137195,8.82953E-05,0.009465713,0.002298563
3/19/2001,0.008417868,-0.008993523,0.01695713,0.004100003,0.002789206,0.003876228,-0.001882927,-0.017033656,-0.026780107
3/20/2001,-0.006797668,-0.002134445,-0.023577699,-0.003945386,-0.001940195,-0.003187067,-0.004301016,0.003750679,0.002053647
3/21/2001,-0.012075363,-0.001127338,-0.018112403,0.002995438,-4.48229E-05,0.004581431,-0.001526775,-0.006282906,0.007016076
3/22/2001,-0.024020292,-0.021436287,-0.003802073,0.000334997,0.003304104,-0.000396434,-0.0055486,-0.009223316,-0.011919235
3/23/2001,0.025890552,0.007631954,0.019810948,0.004928589,0.004391987,0.002981777,-0.006028242,-0.0253462,-0.022507014
3/26/2001,0.023178818,0.016984645,0.010702335,-0.00649074,-0.00200615,-0.00482801,0.001598801,0.011380852,0.011356345
3/27/2001,0.021950254,-0.00099081,0.025099326,-0.0024442,0.000453884,-0.002359297,0.00380462,0.02226137,0.01227763
3/28/2001,-0.018954316,-0.006914556,-0.023883531,-0.010175788,-0.001888969,-0.007322202,0.000954383,-0.005971,0.007140849
3/29/2001,-0.009488102,-0.01805627,-0.005255101,0.000367023,0.001173136,0.000956073,-0.000398066,-0.001203906,-0.010827568
3/30/2001,0.00600885,-0.001439673,0.010275268,0.000687774,-0.003296588,0.002368391,-0.000117512,-0.008919571,0.004624133
4/2/2001,-0.010193467,-0.016745747,-0.012256783,0.004916146,-0.000713693,0.003392348,-0.001373705,-0.000261901,0.01523146
4/3/2001,-0.024729004,-0.023228653,-0.033589028,-0.002616057,-0.000840448,-0.000915885,-0.003963868,-0.008431351,-0.00569962
4/4/2001,0.007415374,-0.012572495,-0.002884052,0.001909067,0.000577933,0.000939492,-0.012390257,0.003021097,0.004388786
4/5/2001,0.030277823,0.016864644,0.044229379,0.000600602,-0.00402202,0.000100261,-0.004871876,-0.001015398,0.002273794
4/6/2001,-0.008710984,0.010982704,-0.020402182,-0.003376284,1.96418E-05,-0.003404441,-0.000387207,0.011036153,0.01215584
4/9/2001,0.00445581,-0.005173192,0.008048808,0.008565362,0.002577322,0.004501971,-0.005826939,-0.000863113,0.010169486
4/10/2001,0.016763167,0.00966771,0.026815186,-0.003333914,-0.00042818,-0.002043354,-0.001484945,-0.0221951,0.009166071
4/11/2001,6.15393E-05,0.014193845,-0.001794803,-0.01074661,-0.003101233,-0.006637097,0.002367208,-0.001970229,-0.006495628
4/12/2001,0.012400701,0.00574311,0.014373968,-0.002603561,-0.0049747,-0.002668107,0.002413185,0.011748726,-0.008235642
4/13/2001,0.000320677,0.001226649,0.0007138,-0.003512004,-0.000188609,-0.002046286,-0.00068758,0.013605599,0.011352257
4/16/2001,-0.005653969,-0.008492832,-0.002439701,0.001096998,-0.000249898,0.000359841,0.000725478,2.30244E-05,-0.000223017
4/17/2001,0.003474939,-0.001109902,0.009914984,-0.009601417,-0.000176631,-0.005815533,2.49933E-05,4.93532E-05,-0.005991344
4/18/2001,0.03035145,0.031639271,0.039405695,0.006167575,-0.003465221,0.004588404,-0.001580496,-0.010570887,-0.00345141
4/19/2001,0.01398185,0.014641503,0.012622976,0.005772053,-0.003148262,0.007117707,0.000344497,0.008926346,-0.008749414
4/20/2001,-0.004105775,-0.016702482,-0.008608642,-0.009805189,-0.003762381,-0.006141127,-0.000696309,0.025789098,0.011834744
